pc_name,shubetsu,pc_name2,maker
PC-VKM24BZG1（NEC）,N,PC-VKM24BZG1,NEC
PC-VKT12HZG3（NEC）,N,PC-VKT12HZG3,NEC
PC-VKT13HZG4（NEC）,N,PC-VKT13HZG4,NEC
PC-VKT13HZG5（NEC）,N,PC-VKT13HZG5,NEC
PC-VKV18GZG6（NEC）,N,PC-VKV18GZG6,NEC
PC-VKX6XT1GR（NEC）,N,PC-VKX6XT1GR,NEC
PN-ZP20（SHARP Corporation）,D,PN-ZP20,SHARP Corporation
Precision 3630 Tower（Dell Inc.）,D,Precision 3630 Tower,Dell Inc.
Precision T3610（Dell Inc.）,D,Precision T3610,Dell Inc.
Precision T7600（Dell Inc.）,D,Precision T7600,Dell Inc.
Surface Book 2（Microsoft Corporation）,N,Surface Book 2,Microsoft Corporation
Surface Book（Microsoft Corporation）,N,Surface Book,Microsoft Corporation
Surface Go（Microsoft Corporation）,N,Surface Go,Microsoft Corporation
Surface Pro 2（Microsoft Corporation）,N,Surface Pro 2,Microsoft Corporation
Surface Pro 4（Microsoft Corporation）,N,Surface Pro 4,Microsoft Corporation
Surface Pro 6（Microsoft Corporation）,N,Surface Pro 6,Microsoft Corporation
Surface Pro 7（Microsoft Corporation）,N,Surface Pro 7,Microsoft Corporation
Surface Pro（Microsoft Corporation）,N,Surface Pro,Microsoft Corporation
System Product Name（System manufacturer）,D,System Product Name,System manufacturer
Veriton N2620G（Acer）,D,Veriton N2620G,Acer
Veriton X480（Acer）,D,Veriton X480,Acer
Virtual Machine（Microsoft Corporation）,D,Virtual Machine,Microsoft Corporation
VJP132（VAIO Corporation）,N,VJP132,VAIO Corporation
VJPB11（VAIO Corporation）,N,VJPB11,VAIO Corporation
VJPF11（VAIO Corporation）,N,VJPF11,VAIO Corporation
VJPG11（VAIO Corporation）,N,VJPG11,VAIO Corporation
VJPG11C11N（VAIO Corporation）,N,VJPG11C11N,VAIO Corporation
VJPJ11C11N（VAIO Corporation）,N,VJPJ11C11N,VAIO Corporation
VJPK11C11N（VAIO Corporation）,N,VJPK11C11N,VAIO Corporation
VJS131（VAIO Corporation）,N,VJS131,VAIO Corporation
"VMware Virtual Platform（VMware, Inc.）",D,VMware Virtual Platform,"VMware, Inc."
"VMware7,1（VMware, Inc.）",D,"VMware7,1","VMware, Inc."
Vostro 7590（Dell Inc.）,N,Vostro 7590,Dell Inc.
VPCF24AJ（Sony Corporation）,N,VPCF24AJ,Sony Corporation
X9DAi（Supermicro）,D,X9DAi,Supermicro
X9DR3-F（Supermicro）,D,X9DR3-F,Supermicro
XPS 13 9350（Dell Inc.）,N,XPS 13 9350,Dell Inc.
